Original|Swapped_To|Type
The Hard Way|The Late Show|title
The Hard Word|Avenue Montaigne|title
The Harder They Come|Winter Solstice|title
The Harder They Fall|East Is East|title
The Harry Hill Movie|The Sin of Madelon Claudet|title
The Harvest Month|Lust for Love|title
The Harvey Girls|Let's Make Money|title
The Hasty Heart|The Face Behind the Mask|title
The Hatchet Man|On the Road|title
The Haunted|Xingu|title
The Haunted House|Ararat|title
The Haunted Mansion|Harry Potter and the Chamber of Secrets|title
The Haunted Palace|Turn Left at the End of the World|title
The Haunted Strangler|The Last American Virgin|title
The Haunted World of El Superbeasto|High Sierra|title
The Haunting|Four Nights of a Dreamer|title
The Haunting in Connecticut|Texas Chainsaw 3D|title
The Haunting of Helena|Fire and Ice|title
The Haunting of Molly Hartley|In the City of Sylvia|title
The Hawaiians|Violent Cop|title
The Hawks and the Sparrows|Frankenstein Must Be Destroyed|title
The Headless Woman|Ballast|title
The Hearse|Daniel 'Smalls' Johnson|title
The Heart Is Deceitful Above All Things|The Chameleon|title
The Heart Is a Lonely Hunter|The Bridge of San Luis Rey|title
The Heart of Me|Get Yourself a College Girl|title
The Heartbreak Kid|CJ7|title
The Heat|Blue Ruin|title
The Heat's On|Daddy Day Camp|title
The Heavenly Body|Show Boat|title
The Heavy|The Sword of Doom|title
The Hebrew Hammer|Diva|title
The Hedgehog|Onegin|title
The Heiress|Yojimbo|title
The Help|The Shawshank Redemption|title
The Heroes of Telemark|Not Without My Daughter|title
The Hi-Line|Ned Kelly|title
The Hi-Lo Country|Arrowhead|title
The Hidden|Salsa|title
The Hidden Blade|Solomon Kane|title
The Hidden Face|American Flyers|title
The Hidden Fortress|The Rains of Ranchipur|title
The Hideous Sun Demon|Airport '77|title
The Hiding Place|Mixed Blood|title
The High Cost of Living|Flight of the Navigator|title
The High and the Mighty|The City of Lost Souls|title
The Hill|Spare Parts|title
The Hills Have Eyes|The Great Mouse Detective|title
The Hills Have Eyes Part II|The Adventures of Picasso|title
The Hills Run Red|Twin Sisters|title
The Hindenburg|Ruby|title
The Hired Hand|My First Mister|title
The Hireling|Boyz n the Hood|title
The History Boys|The Mosquito Net|title
The Hit|Bandits|title
The Hit List|The Karate Kid|title
The Hitch-Hiker|The Widow of Saint-Pierre|title
The Hitcher|Sometimes a Great Notion|title
The Hitchhiker's Guide to the Galaxy|Keeping Up with the Steins|title
The Hitman|The Lord of the Rings|title
The Hoax|Ladies of Leisure|title
The Holcroft Covenant|What a Girl Wants|title
The Holding|Joyride|title
The Hole|Why We Fight|title
The Holiday|Don't Drink the Water|title
The Hollywood Knights|The Damned|title
The Hollywood Revue of 1929|Straight Time|title
The Holy Girl|Jeremiah Johnson|title
The Holy Mountain|Kedma|title
The Home Song Stories|Delicatessen|title
The Home of Dark Butterflies|The Deadly Companions|title
The Homecoming|In Love and War|title
The Homesman|Make It Happen|title
The Honey Pot|The Secret Life of Bees|title
The Honeymoon Killers|Who's Afraid of Virginia Woolf?|title
The Honeymooners|Her Alibi|title
The Horrible Dr. Hichcock|The Limits of Control|title
The Horribly Slow Murderer with the Extremely Inefficient Weapon|Death Defying Acts|title
The Horror Show|Home from the Hill|title
The Horse Soldiers|Berkeley in the Sixties|title
The Horse Whisperer|Bhaag Milkha Bhaag|title
The Horse in the Gray Flannel Suit|Skeleton Man|title
The Horse's Mouth|Don't Torture a Duckling|title
The Horseman|Unleashed|title
The Horseman on the Roof|Barton Fink|title
The Hospital|Faithful|title
The Host|The New One-Armed Swordsman|title
The Hot Chick|Killer's Kiss|title
The Hot Rock|Chasing Mavericks|title
The Hot Spot|On the Line|title
The Hotel New Hampshire|Bringing Up Bobby|title
The Hottest State|Predator|title
The Hound of the Baskervilles|The Good Lie|title
The Hour of the Furnaces|The Ladies Man|title
The Hourglass Sanatorium|Dark Matter|title
The Hours|Die Hard 2|title
The House Bunny|The Pagemaster|title
The House I Live In|Rainbow Valley|title
The House That Dripped Blood|I'm Gonna Git You Sucka|title
The House by the Cemetery|Boot Camp|title
The House of Branching Love|I Shot a Man in Vegas|title
The House of Mirth|The Heavy|title
The House of Rothschild|They Bite|title
The House of Seven Corpses|Look|title
The House of Yes|Mass Appeal|title
The House of the Devil|West Is West|title
The House of the Seven Gables|Never on Sunday|title
The House of the Spirits|Night of the Living Dead|title
The House on 56th Street|Me Without You|title
The House on 92nd Street|Riot in Cell Block 11|title
The House on Carroll Street|Anna and the King|title
The House on Sorority Row|Not Another Teen Movie|title
The House on Telegraph Hill|Hero at Large|title
The Householder|The Ghost and the Darkness|title
The Howards of Virginia|Carolina Moon|title
The Howling|Hawaii|title
The Hucksters|The Exterminating Angel|title
The Hudsucker Proxy|Car 54, Where Are You?|title
The Human Comedy|A Beautiful Mind|title
The Human Factor|Buck and the Preacher|title
The Human Race|Terkel in Trouble|title
The Human Resources Manager|Shopgirl|title
The Human Stain|Rosetta|title
The Human Tornado|Glory to the Filmmaker!|title
The Humanoid|Bitter Feast|title
The Hunchback|They Live by Night|title
The Hunchback of Notre Dame|Blonde Venus|title
The Hundred-Foot Journey|Loins of Punjab Presents|title
The Hunger|The Happening|title
The Hunger Games|Stage Door|title
The Hungover Games|Three Way|title
The Hunt|The Shock Doctrine|title
The Hunt for Gollum|The Dead Outside|title
The Hunt for Red October|The Idiot Returns|title
The Hunted|The Stars Look Down|title
The Hunter|Love Letter|title
The Hunters|More About the Children of Noisy Village|title
The Hunting Party|Beneath the Harvest Sky|title
The Hunting of the President|You Can Count on Me|title
The Hurricane|The Darjeeling Limited|title
The Hurricane Express|The Boxtrolls|title
The Hurt Locker|I Married a Strange Person!|title
The Hustler|Anatomy of a Murder|title
The Hypnotist|The Girl Who Leapt Through Time|title
The I Inside|P2|title
The Ice Harvest|Blended|title
The Ice Pirates|Women in Trouble|title
The Ice Storm|Mogambo|title
The Iceman|The Salton Sea|title
The Iceman Cometh|Atomic Twister|title
The Icicle Thief|The Players Club|title
The Ides of March|Dream Wife|title
The Idiot Returns|The Lonely Guy|title
The Idiots|There Be Dragons|title
The Idolmaker|The Lone Wolf Spy Hunt|title
The Illusionist|A Hijacking|title
The Illustrated Man|Death Sentence|title
The Imaginarium of Doctor Parnassus|Twilight of the Ice Nymphs|title
The Imitation Game|Easter Parade|title
The Immaculate Conception of Little Dizzle|Even Cowgirls Get the Blues|title
The Immature|The Incredible Hulk Returns|title
The Immigrant|They All Laughed|title
The Immortal Story|Main Hoon Na|title
The Immortals|Hannah Arendt|title
The Importance of Being Earnest|The Fallen Sparrow|title
The Impossible|Let's Talk About the Rain|title
The Impostors|Rabbit Hole|title
The In Crowd|A True Mob Story|title
The In-Laws|Escape from Tomorrow|title
The Inbetweeners 2|Django Unchained|title
The Inbetweeners Movie|Zoolander|title
The Incident|Krrish 3|title
The Incite Mill|Birthday Girl|title
The Incredible Burt Wonderstone|Under the Volcano|title
The Incredible Hulk|Palo Alto|title
The Incredible Hulk Returns|The Killer Is Loose|title
The Incredible Melting Man|My Afternoons with Margueritte|title
The Incredible Mr. Limpet|Holes in My Shoes|title
The Incredible Petrified World|The Bench|title
The Incredible Shrinking Man|Miss Violence|title
The Incredible Shrinking Woman|Rob Roy|title
The Incredibles|Road to Utopia|title
The Incredibly True Adventure of Two Girls in Love|Port of Call|title
The Incubus|Equinox|title
The Independent|The Hitchhiker's Guide to the Galaxy|title
The Indian Runner|Rounders|title
The Indian in the Cupboard|Mysterious Skin|title
The Infidel|Vacancy|title
The Informant!|Mondo cane|title
The Informer|Last Exit|title
The Informers|The Reluctant Dragon|title
The Inglorious Bastards|The Silver Chalice|title
The Inheritance|Phar Lap|title
The Inheritors|Pride and Prejudice|title
The Initiation|Powwow Highway|title
The Inkwell|The Pinchcliffe Grand Prix|title
The Inn of the Sixth Happiness|The Littlest Rebel|title
The Inner Circle|Down Terrace|title
The Innkeepers|Wendy and Lucy|title
The Innocent|Her Highness and the Bellboy|title
The Innocent Sleep|Tyrannosaur|title
The Innocents|The Fighting 69th|title
The Insider|Native Son|title
The Inspector General|Along the Great Divide|title
The Intended|The Searchers|title
The International|Love and Pain and the Whole Damn Thing|title
The Internecine Project|A Man Called Gannon|title
The Internship|I Can Get It for You Wholesale|title
The Interpreter|My Favorite Blonde|title
The Interrupters|Christmas Eve|title
The Interview|Christmas Evil|title
The Intouchables|United Red Army|title
The Intruder|Red-Headed Woman|title
The Invasion|Stealing Harvard|title
The Invention of Lying|Who Is Cletis Tout?|title
The Invisible|World War Z|title
The Invisible Circus|Short Eyes|title
The Invisible Man|Marie Antoinette|title
The Invisible Man Returns|The Big Hit|title
The Invisible Ray|Abbott and Costello Meet Dr. Jekyll and Mr. Hyde|title
The Invisible War|Home on the Range|title
The Invisible Woman|Sniper|title
The Ipcress File|Martial Arts of Shaolin|title
The Iran Job|The Devil Came on Horseback|title
The Iron Giant|The Devil's Double|title
The Iron Horse|True Legend|title
The Iron Ladies|Arlington Road|title
The Iron Lady|Maps to the Stars|title
The Iron Mask|Blackboards|title
The Island|Final Destination|title
The Island at the Top of the World|Teddy Bear|title
The Island of Dr. Moreau|Following|title
The Italian|Baby the Rain Must Fall|title
The Italian Job|Firelight|title
The Jackal|Killing Zoe|title
The Jacket|A Woman's Secret|title
The Jackie Robinson Story|The Mighty Macs|title
The James Dean Story|Pierrot le Fou|title
The Jane Austen Book Club|Koi... Mil Gaya|title
The January Man|Seraphim Falls|title
The Jazz Singer|The World of Kanako|title
The Jericho Mile|Kimjongilia|title
The Jerk|Jerry and Tom|title
The Jerky Boys|Helen|title
The Jewel of the Nile|Welcome Back, Mr. McDonald|title
The Jimmy Show|Private|title
The Joker Is Wild|The Soldier|title
The Jolly Boys' Last Stand|Twin Town|title
The Jolson Story|Darkman|title
The Joneses|Mujhse Dosti Karoge!|title
The Journey|Molly|title
The Journey of August King|A World Without Thieves|title
The Journey of Natty Gann|Flashdance|title
The Joy Luck Club|The Black Stallion Returns|title
The Joyriders|Missile to the Moon|title
The Judge|House of 9|title
The Judge and the Assassin|The Prince of Tides|title
The Jungle Book|Hacks|title
The Jungle Book 2|Psycho Beach Party|title
The Juror|Hollywoodland|title
The Karate Kid|The Great White Hope|title
The Karate Kid, Part II|Zoot Suit|title
The Karate Kid, Part III|Choke|title
The Karen Carpenter Story|Luther|title
The Kautokeino Rebellion|Albuquerque|title
The Keep|Quo Vadis|title
The Keeper|Examined Life|title
The Kentuckian|Up the Sandbox|title
The Kentucky Fried Movie|Grace of Monaco|title
The Ketchup Effect|Fail Safe|title
The Key|The Godless Girl|title
The Keys of the Kingdom|The Diary of Anne Frank|title
The Keys to the House|Flying Tigers|title
The Kick|Comandante|title
The Kid|Living in Oblivion|title
The Kid Brother|Space Milkshake|title
The Kid Stays in the Picture|Bandit Queen|title
The Kid from Brooklyn|Pitch Perfect|title
The Kid with a Bike|Life and Nothing But|title
The Kidnapping of the President|This Sporting Life|title
The Kids Are All Right|Cold Showers|title
The Killer|La Strada|title
The Killer Elite|The Conspirator|title
The Killer Inside Me|Run Lola Run|title
The Killer Is Loose|Sunday Bloody Sunday|title
The Killer Shrews|Knock on Any Door|title
The Killers|Devil|title
The Killing|Tokyo Zombie|title
The Killing Fields|Tie Me Up! Tie Me Down!|title
The Killing Floor|Coral Reef Adventure|title
The Killing Jar|Hitman|title
The Killing Room|Warriors of Virtue|title
The Killing of America|Wonder Boys|title
The Killing of John Lennon|Arsène Lupin|title
The Killing of Sister George|The Scorpion King|title
The Killing of a Chinese Bookie|The Gold of Naples|title
The King|Leningrad Cowboys Meet Moses|title
The King Is Alive|We Bought a Zoo|title
The King and Four Queens|Vanishing Point|title
The King and I|Topper Returns|title
The King of Comedy|Goodbye, Mr. Chips|title
The King of Fighters|At Play in the Fields of the Lord|title
The King of Kings|Stay Hungry|title
The King of Marvin Gardens|World Traveler|title
The King of Ping Pong|The Last Mimzy|title
The King's Speech|Precious|title
The King's Whore|Carbon Nation|title
The Kingdom|The Inn of the Sixth Happiness|title
The Kiss|Harper|title
The Kiss of Evil|Sex and the Single Girl|title
The Kiss of the Vampire|Frequency|title
The Kite Runner|Dirty Pretty Things|title
The Krays|Lord of the Flies|title
The Kremlin Letter|Watch on the Rhine|title
The L-Shaped Room|Shaolin Temple|title
The Lacemaker|The Boy Who Cried Werewolf|title
The Ladies Man|Sweet Charity|title
The Lady|The King of Fighters|title
The Lady Eve|Iron Man 2|title
The Lady Vanishes|About Adam|title
The Lady from Shanghai|Stop-Loss|title
The Lady in Red|Waterland|title
The Lady with the Dog|Dirty Filthy Love|title
The Ladykillers|Zatoichi's Flashing Sword|title
The Lair of the White Worm|Firaaq|title
The Lake House|Roadkill|title
The Land|Witch's Night Out|title
The Land Before Time|Extract|title
The Land Girls|Gregory Go Boom|title
The Land That Time Forgot|W.W. and the Dixie Dancekings|title
The Land Unknown|Waiting for Guffman|title
The Landlord|The Magic Box|title
The Laramie Project|I Love Your Work|title
The Las Vegas Story|Elektra Luxx|title
The Last Airbender|Apartment Zero|title
The Last American Hero|The Evictors|title
The Last American Virgin|Police Academy|title
The Last Angry Man|City of Hope|title
The Last Blitzkrieg|Atonement|title
The Last Bolshevik|Morons from Outer Space|title
The Last Boy Scout|Maria's Lovers|title
The Last Broadcast|How Do You Know|title
The Last Castle|The Pope of Greenwich Village|title
The Last Circus|A Monster in Paris|title
The Last Command|Sonny|title
The Last Days of Disco|Good People|title
The Last Days of Pompeii|Ten|title
The Last Days on Mars|The Sky Crawlers|title
The Last Deadly Mission|Slums of Beverly Hills|title
The Last Detail|The Last Days of Disco|title
The Last Dragon|Our Relations|title
The Last Drop|Far Out Man|title
The Last Emperor|Buona Sera, Mrs. Campbell|title
The Last Exorcism|Lapland Odyssey|title
The Last Exorcism Part II|A Man for All Seasons|title
The Last Farm|Black Moon|title
The Last Five Years|Truth or Consequences, N.M.|title
The Last Flight of Noah's Ark|Next Stop, Greenwich Village|title
The Last Frontier|Legend|title
The Last Hard Men|Floods of Fear|title
The Last Horror Movie|Modern Times|title
The Last House on the Left|Wah-Wah|title
The Last Hurrah|Born to Be Wild|title
The Last Journey|Kambakkht Ishq|title
The Last King of Scotland|Fehérlófia|title
The Last Kiss|The Blue Dahlia|title
The Last Legion|The Four-Faced Liar|title
The Last Lions|Honey|title
The Last Man|San Quentin|title
The Last Man on Earth|Blood and Sand|title
The Last Metro|The Suicide Shop|title
The Last Mimzy|Ballad of a Soldier|title
The Last Minute|The Cannonball Run|title
The Last Mistress|The Long Absence|title
The Last Mountain|Dumb and Dumber To|title
The Last Movie|Pistol Opera|title
The Last Outpost|Going Hollywood|title
The Last Picture Show|Duel|title
The Last Play at Shea|Kung Fu Dunk|title
The Last Remake of Beau Geste|The Glass Menagerie|title
The Last Ride|Eichmann|title
The Last Run|The Rebound|title
The Last Samurai|Carried Away|title
The Last Seduction|Rambo III|title
The Last Seduction II|Trafic|title
The Last September|Warrior|title
The Last Shot|Always Tell Your Wife|title
The Last Song|Mimic|title
The Last Stand|Beneath the Valley of the Ultra-Vixens|title
The Last Starfighter|The Desert Trail|title
The Last Station|Charlie Brown's Christmas Tales|title
The Last Sunset|The Rape of Europa|title
The Last Supper|Hexed|title
The Last Temptation of Christ|Roll Bounce|title
The Last Time|King Kong Escapes|title
The Last Time I Committed Suicide|Reds|title
The Last Time I Saw Archie|Full of It|title
The Last Time I Saw Paris|Shuttle|title
The Last Tycoon|Head of State|title
The Last Unicorn|Slumber Party Massacre II|title
The Last Valley|Short Time|title
The Last Voyage|The Moment of Truth|title
The Last Wagon|Sahara|title
The Last Waltz|Until September|title
The Last Wave|Cobb|title
The Last Winter|The Tattooed Widow|title
The Last Word|Taxi zum Klo|title
The Last of England|Sister Act|title
The Last of Mrs. Cheyney|The Basketball Diaries|title
The Last of Robin Hood|Fat Albert|title
The Last of Sheila|The Majestic|title
The Last of the Finest|Dandelion|title
The Last of the High Kings|The Rocky Horror Picture Show|title
The Last of the Mohicans|Slaughterhouse-Five|title
The Late George Apley|Lola Versus|title
The Late Shift|Clouds of Sils Maria|title
The Late Show|Albert Nobbs|title
The Lathe of Heaven|Family Weekend|title
The Laughing Policeman|The Killer Shrews|title
The Laughing Woman|This Movie Is Broken|title
The Lavender Hill Mob|My Mother Likes Women|title
The Law|Just Pals|title
The Law of Enclosures|Ulzana's Raid|title
The Lawless|The Velvet Vampire|title
The Lawless Breed|Chori Chori Chupke Chupke|title
The Lawless Frontier|When Animals Dream|title
The Lawnmower Man|Gabrielle|title
The Lazarus Project|Zatoichi and the Fugitives|title
The Leading Man|Hiding Out|title
The League of Extraordinary Gentlemen|Charlie Chan at the Circus|title
The League of Gentlemen|Scream of Stone|title
The Learning Curve|The King of Comedy|title
The Learning Tree|Age of the Dragons|title
The Ledge|A Simple Plan|title
The Leech Woman|Oz the Great and Powerful|title
The Left Hand of God|Maximum Risk|title
The Left Handed Gun|Con Air|title
The Left-Hand Side of the Fridge|That Night in Varennes|title
The Legacy|Public Enemies|title
The Legend of 1900|Laurens Van der Post|title
The Legend of Bagger Vance|Bossa Nova|title
The Legend of Bigfoot|Charisma|title
The Legend of Boggy Creek|Solitary Man|title
The Legend of Hell House|Next of Kin|title
The Legend of Hercules|The Children's Hour|title
The Legend of Lizzie Borden|Mermaids|title
The Legend of Lylah Clare|Lonely Street|title
The Legend of Sleepy Hollow|Hot Shots! Part Deux|title
The Legend of Suram Fortress|Nick Carter, Master Detective|title
The Legend of Suriyothai|Simon Says|title
The Legend of Zorro|Spinout|title
The Legend of the Lone Ranger|Year of the Dragon|title
The Lego Movie|Office Killer|title
The Leopard|Adulthood|title
The Leopard Man|Ice Cold in Alex|title
The Lesser Blessed|Avatar|title
The Letter|The Secret of the Grain|title
The Liability|Attack of the 50 Foot Woman|title
The Liberation of L.B. Jones|The Abandoned|title
The Libertine|A Canterbury Tale|title
The Life Aquatic with Steve Zissou|Medicine for Melancholy|title
The Life Before Her Eyes|Iron Eagle|title
The Life and Death of Colonel Blimp|Loaded Weapon 1|title
The Life and Death of Peter Sellers|The Good Doctor|title
The Life and Times of Hank Greenberg|Redirected|title
The Life and Times of Judge Roy Bean|Christmas on Mars|title
The Life of David Gale|The Hunt for Red October|title
The Life of Emile Zola|The Way He Looks|title
The Life of Oharu|Hard Target|title
The Life of Reilly|Are You Here|title
The Lifeguard|Da Hip Hop Witch|title
The Limey|Salon Kitty|title
The Limits of Control|The Faculty|title
The Lincoln Lawyer|The Sure Thing|title
The Lineup|Secretary|title
The Linguini Incident|Mister Roberts|title
The Lion King|Document of the Dead|title
The Lion in Winter|Lisztomania|title
The List of Adrian Messenger|Viva Riva!|title
The Little Colonel|Teaching Mrs. Tingle|title
The Little Fox|The Cheat|title
The Little Foxes|Please Give|title
The Little Girl Who Lives Down the Lane|Hereafter|title
The Little Kidnappers|Two of a Kind|title
The Little Mermaid|The Life of Emile Zola|title
The Little Prince|The Blue Angel|title
The Little Princess|Peter-No-Tail|title
The Little Rascals|The Class|title
The Little Rascals Save the Day|The Descent|title
The Little Shop of Horrors|The Tender Hook|title
The Little Thief|Gulliver's Travels|title
The Little Traitor|Dr. Dolittle 2|title
The Littlest Rebel|Heart of a Dog|title
The Lives of Others|Metropolitan|title
The Lives of a Bengal Lancer|Who Do I Gotta Kill?|title
The Living Daylights|Wolfsburg|title
The Living Desert|Americano|title
The Living Ghost|Terror in a Texas Town|title
The Living Sea|Paths of Glory|title
The Living Wake|In Harm's Way|title
The Living and the Dead|Happiness Is in the Field|title
The Lizard|Pu-239|title
The Lizzie McGuire Movie|The Devil's Rock|title
The Locals|Brake|title
The Locusts|Bewitched|title
The Lodger|Crisis|title
The Loft|Born Free|title
The Lone Ranger|Kids|title
The Lone Ranger and the Lost City of Gold|Zachariah|title
The Lone Wolf Spy Hunt|Jeff, Who Lives at Home|title
The Loneliest Planet|The Good Heart|title
The Loneliness of the Long Distance Runner|Sex and the City|title
The Lonely Guy|The Humanoid|title
The Lonely Passion of Judith Hearne|Napoleon Dynamite|title
The Lonely Villa|Eureka|title
The Long Absence|American Ninja|title
The Long Dark Hall|Under the Sun of Satan|title
The Long Day Closes|The Immigrant|title
The Long Good Friday|The Radio Pirates|title
The Long Goodbye|Fatal Beauty|title
The Long Gray Line|Watching the Detectives|title
The Long Kiss Goodnight|A Short Film About Killing|title
The Long Night|Walking, Walking|title
The Long Riders|Tape|title
The Long Ships|Johnny Dangerously|title
The Long Voyage Home|Renegades|title
The Long Walk Home|Gregory's Girl|title
The Long Way Home|The Ultimate Warrior|title
The Long Weekend|I'll Never Forget What's'isname|title
The Long and Short of It|Stalker|title
The Long, Hot Summer|We're the Millers|title
The Long, Long Trailer|Foolish|title
The Longest Day|The Overcoat|title
The Longest Week|Running Out of Time|title
The Longest Yard|Crash|title
The Longshots|It's All About Love|title
The Look of Love|Scandal|title
The Lookout|Battle Circus|title
The Lorax|Mission to Mars|title
The Lord of the Rings|Just Go with It|title
The Lords of Discipline|It Happened Here|title
The Lords of Salem|Submarine|title
The Losers|Life with Mikey|title
The Loss of Sexual Innocence|The Great Waldo Pepper|title
The Loss of a Teardrop Diamond|Killing Me Softly|title
The Lost Battalion|The Cave|title
The Lost Boys|Wyatt Earp's Revenge|title
The Lost Continent|The Ninth Gate|title
The Lost Future|Bianco, rosso e Verdone|title
The Lost Missile|Lady in Cement|title
The Lost Patrol|Performance|title
The Lost Prince|The Day|title
The Lost Skeleton of Cadavra|Help!|title
The Lost Son|Can Mr. Smith Get to Washington Anymore?|title
The Lost Squadron|Four Shades of Brown|title
The Lost Thing|The Trials of Oscar Wilde|title
The Lost Weekend|Chaos|title
The Lost World|Eye of the Beholder|title
The Love Bug|Aladin|title
The Love God?|Abe Lincoln in Illinois|title
The Love Guru|Jeremy|title
The Love Letter|Dark Passage|title
The Love Machine|The Round-Up|title
The Love Nest|Tekken|title
The Love Parade|King of Beggars|title
The Love Punch|White Chicks|title
The Love of Siam|Zone 39|title
The Loved One|Just Write|title
The Loved Ones|The Battle of Algiers|title
The Loveless|Analyze This|title
The Lovely Bones|I Can Do Bad All by Myself|title
The Lover|The Masseurs and a Woman|title
The Lovers|Committed|title
The Loves of Carmen|Black Nativity|title
The Loves of Pharaoh|disaster film|title
The Lovin' Spoonful|Franco Amurri|person_name
The Low Life|Easy Come, Easy Go|title
The Lower Depths|Repulsion|title
The Loyal 47 Ronin|Toast|title
The Lucky One|Le Week-End|title
The Lucky Ones|An Empress and the Warriors|title
The Lucky Texan|Vampyr|title
The Lunchbox|Ways to Live Forever|title
The Lusty Men|Exists|title
The Luzhin Defence|Play Dirty|title
The Machine|The War Lord|title
The Machine Girl|Up in the Wind|title
The Machinist|The Pyramid|title
The Mack|Funny Face|title
The Mad Magician|The Music Man|title
The Mad Miss Manton|Race|title
The Madagascar Penguins in a Christmas Caper|The Lego Movie|title
The Madness of King George|Jimmy's Hall|title
The Magdalene Sisters|Venice/Venice|title
The Magic Box|Legal Eagles|title
The Magic Christian|Alexander the Great|title
The Magic Flute|I Know What You Did Last Summer|title
The Magic Sword|Heaven Knows, Mr. Allison|title
The Magic of Belle Isle|The Wreck of the Mary Deare|title
The Magic of Ordinary Days|High Heels and Low Lifes|title
The Magical Legend of the Leprechauns|Machine-Gun Kelly|title
The Magician|The Cat's Meow|title
The Magnet|Tokyo-Ga|title
The Magnetic Monster|Without Love|title
The Magnificent Ambersons|The Emperor's New Clothes|title
The Magnificent Gladiator|Cause for Alarm!|title
The Magnificent Seven|Hit and Runway|title
The Magnificent Yankee|Martyrs|title
The Magus|Dallas 362|title
The Maid|Cannery Row|title
The Maiden Heist|Julie Johnson|title
The Main Event|Portrait of Jennie|title
The Majestic|A Big Hand for the Little Lady|title
The Major and the Minor|Bob the Butler|title
The Makioka Sisters|Airplane!|title
The Maltese Falcon|Orange County|title
The Mambo Kings|Side Out|title
The Man|The Little Shop of Horrors|title
The Man Behind the Gun|Oklahoma!|title
The Man Between|Love Crime|title
The Man I Love|The Kid from Brooklyn|title
The Man Next Door|The Wonderful World of the Brothers Grimm|title
The Man They Could Not Hang|Oh, God! You Devil|title
The Man Who Came to Dinner|Under Capricorn|title
The Man Who Captured Eichmann|Ah, Wilderness!|title
The Man Who Copied|Cedric the Entertainer|title
The Man Who Could Cheat Death|Nancy Drew|title
The Man Who Cried|Ruby Sparks|title
The Man Who Fell to Earth|The Scalphunters|title
The Man Who Haunted Himself|Read My Lips|title
The Man Who Knew Too Little|Wanda|title
The Man Who Knew Too Much|Breaking Up|title
The Man Who Laughs|Coffee and Cigarettes|title
The Man Who Loved Cat Dancing|Keeper of the Flame|title
The Man Who Loved Women|The Incredible Burt Wonderstone|title
The Man Who Never Was|Lords of Dogtown|title
The Man Who Planted Trees|Even Money|title
The Man Who Played God|Twilight|title
The Man Who Quit Smoking|Secondhand Lions|title
The Man Who Saw Tomorrow|Afterschool|title
The Man Who Shot Liberty Valance|Goldfinger|title
The Man Who Sleeps|Big Eden|title
The Man Who Sued God|Ziegfeld Follies|title
The Man Who Wasn't There|Beneath the Darkness|title
The Man Who Would Be King|Diggstown|title
The Man Who Wouldn't Die|Glitter|title
The Man Without a Face|Pontypool|title
The Man Without a Past|The Legend of Sleepy Hollow|title
The Man from Beyond|Hanging Up|title
The Man from Earth|Getaway|title
The Man from Elysian Fields|The Notebook|title
The Man from Laramie|Prowl|title
The Man from London|Strategic Air Command|title
The Man from Monterey|The Cat from Outer Space|title
The Man from Planet X|Storm Catcher|title
The Man from Snowy River|Antichrist|title
The Man from Utah|Wayne's World|title
The Man from the Alamo|Firestarter|title
The Man in Grey|Life Stinks|title
The Man in Possession|The Opportunists|title
The Man in the Glass Booth|The Human Stain|title
The Man in the Gray Flannel Suit|Paperhouse|title
The Man in the Iron Mask|The Reluctant Astronaut|title
The Man in the Moon|Anything for Her|title
The Man in the White Suit|Center Stage|title
The Man of My Life|Factotum|title
The Man of the Year|Errors of the Human Body|title
The Man with One Red Shoe|Titan A.E.|title
The Man with Two Brains|Good Men, Good Women|title
The Man with a Cloak|The Secret of Santa Vittoria|title
The Man with the Golden Arm|Yeh Jawaani Hai Deewani|title
The Man with the Golden Gun|Louisiana Story|title
The Man with the Iron Fists|Miss Congeniality|title
The Manchurian Candidate|Lady Sings the Blues|title
The Mangler|Vertical Limit|title
The Manhattan Project|Videodrome|title
The Manitou|Broken Flowers|title
The Manxman|I Am Sam|title
The Marc Pease Experience|Beneath the Dark|title
The Marine|War Horse|title
The Mark|The Tall Men|title
The Mark of Zorro|And the Ship Sails On|title
The Marksman|Woo|title
The Marriage of Maria Braun|A Shot in the Dark|title
The Marrying Kind|The Craft|title
The Marrying Man|Against the Ropes|title
The Marsh|César|title
The Marx Brothers|Ann Harding|person_name
The Mask|House Arrest|title
The Mask of Dimitrios|The Church|title
The Mask of Fu Manchu|Bones|title
The Mask of Zorro|Lassie Come Home|title
The Masque of the Red Death|silent film|title
The Masseurs and a Woman|Act of Violence|title
The Master|Two Thousand Maniacs!|title
The Master of Ballantrae|Five Minutes of Heaven|title
The Master of Disguise|They Died with Their Boots On|title
The Matador|Pay It Forward|title
The Match|That's What I Am|title
The Match Factory Girl|Vicky Donor|title
The Match King|Short Cuts|title
The Matchmaker|Romulus, My Father|title
The Mating Game|Rusty Knife|title
The Mating Habits of the Earthbound Human|B. Monkey|title
The Mating Season|Maverick|title
The Mating of Millie|The Snapper|title
The Matriarch|Yesterday's Enemy|title
The Matrix|Pageant|title
The Mattei Affair|I giorni contati|title
The Mayor of Casterbridge|Son of Lassie|title
The Mayor of Hell|Black Cat, White Cat|title
The Maze|A Birder's Guide to Everything|title
The Maze Runner|Ferris Bueller's Day Off|title
The Mean Season|Edge of Madness|title
The Mechanic|My Best Friend|title
The Medallion|Mary Poppins|title
The Memory Keeper's Daughter|Dirty Deeds|title
The Men|Assault on Precinct 13|title
